,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Vila Franca do Campo,20,PT,1570170485,94,37.72,-25.43,293.71,5.7
1,Mataura,99,NZ,1570170486,55,-46.19,168.86,288.71,6.26
2,Buraydah,0,SA,1570170488,33,26.33,43.97,303.15,5.7
3,East London,75,ZA,1570170489,77,-33.02,27.91,291.15,2.6
4,Pingliang,99,CN,1570170490,74,35.54,106.68,284.839,2.9
5,Calabozo,70,VE,1570170491,92,8.92,-67.43,295.909,1.17
6,Lorengau,65,PG,1570170493,72,-2.02,147.27,301.619,2.68
7,Erdenet,0,MN,1570170494,55,49.03,104.04,277.309,2.65
8,Hilo,90,US,1570170495,78,19.71,-155.08,299.15,4.1
9,Kirkenes,20,NO,1570170497,86,69.73,30.05,274.15,4.6
10,Vaini,40,IN,1570170498,69,15.34,74.49,300.15,1.0
11,Hithadhoo,89,MV,1570170499,78,-0.6,73.08,300.919,5.5
12,Lavrentiya,100,RU,1570170500,96,65.58,-170.99,273.829,2.74
13,Zhanjiang,46,CN,1570170502,53,21.2,110.4,304.059,1.88
14,Jamestown,96,AU,1570170503,13,-33.21,138.6,305.559,8.97
15,Porto Novo,54,BR,1570170504,87,-23.68,-45.44,288.15,2.2
16,Aljezur,0,PT,1570170506,97,37.31,-8.8,291.48,0.89
17,Ushuaia,40,AR,1570170488,70,-54.81,-68.31,279.15,5.7
18,Leh,86,IN,1570170508,28,34.16,77.58,275.559,2.01
19,Pinerolo,0,IT,1570170510,66,44.89,7.33,283.15,2.1
20,Komsomolskiy,100,RU,1570170511,96,67.55,63.78,274.689,8.2
21,Tuktoyaktuk,90,CA,1570170512,89,69.44,-133.03,274.15,4.1
22,Dikson,100,RU,1570170514,91,73.51,80.55,270.819,11.86
23,Pevek,100,RU,1570170515,72,69.7,170.27,273.309,7.78
24,Rikitea,83,PF,1570170516,78,-23.12,-134.97,294.019,10.99
25,Busselton,87,AU,1570170517,60,-33.64,115.35,291.48,13.16
26,Narsaq,72,GL,1570170519,32,60.91,-46.05,284.15,6.2
27,Bredasdorp,97,ZA,1570170520,59,-34.53,20.04,290.93,1.5
28,Cape Town,40,ZA,1570170521,77,-33.93,18.42,290.37,8.2
29,Urzhum,100,RU,1570170523,80,57.11,50.0,286.019,5.41
30,Marshfield,90,US,1570170524,100,42.09,-70.71,285.93,2.6
31,Russell,90,US,1570170525,76,38.9,-98.86,286.48,4.6
32,Castro,90,CL,1570170527,86,-42.48,-73.76,278.15,0.96
33,Cabo San Lucas,40,MX,1570170308,83,22.89,-109.91,298.15,3.26
34,Shache,96,CN,1570170530,91,38.42,77.24,295.93,1.76
35,Upernavik,79,GL,1570170531,75,72.79,-56.15,276.089,4.6
36,Chuy,100,UY,1570170532,89,-33.69,-53.46,286.299,8.81
37,Bluff,0,AU,1570170534,19,-23.58,149.07,301.649,5.96
38,Kodiak,1,US,1570170535,87,39.95,-94.76,283.15,1.5
39,Sovetskiy,100,RU,1570170536,79,56.76,48.47,286.009,6.88
40,Freeport,0,BS,1570170537,75,26.54,-78.7,299.919,3.92
41,Punta Arenas,75,CL,1570170539,70,-53.16,-70.91,279.15,7.7
42,Thompson,5,CA,1570170540,80,55.74,-97.86,274.15,2.1
43,Labuhan,91,ID,1570170541,39,-2.54,115.51,305.979,3.33
44,Ulladulla,90,AU,1570170543,77,-35.36,150.48,290.37,5.1
45,Cidreira,100,BR,1570170544,95,-30.17,-50.22,291.199,5.26
46,Arraial do Cabo,1,BR,1570170545,91,-22.97,-42.02,293.529,5.68
47,Guerrero Negro,0,MX,1570170546,78,27.97,-114.04,292.859,6.11
48,Vardo,90,US,1570170548,88,39.62,-77.74,294.82,1.5
49,Victoria,75,BN,1570170549,70,5.28,115.24,304.15,2.6
50,Alugan,26,PH,1570170550,57,12.22,125.48,303.929,2.82
51,Hofn,100,IS,1570170552,99,64.25,-15.21,272.659,2.49
52,Clyde River,90,CA,1570170553,94,70.47,-68.59,273.15,2.6
53,Piopio,12,CL,1570170554,81,-42.79,-73.57,279.15,3.1
54,Yuncheng,100,CN,1570170556,89,35.03,111.0,291.149,5.97
55,Hasaki,40,JP,1570170557,65,35.73,140.83,302.04,5.7
56,Springbok,0,ZA,1570170558,69,-29.67,17.88,285.15,2.1
57,Ilulissat,100,GL,1570170560,36,69.22,-51.1,281.15,8.2
58,Carballo,75,ES,1570170561,93,43.21,-8.69,290.37,3.13
59,Brusturoasa,90,RO,1570170562,93,46.52,26.18,282.15,4.6
60,Karratha,0,AU,1570170564,17,-20.74,116.85,310.609,8.54
61,Barrow,100,AR,1570170565,63,-38.31,-60.23,278.359,4.06
62,Meulaboh,64,ID,1570170567,77,4.14,96.13,300.119,1.21
63,Tessalit,0,ML,1570170568,13,20.2,1.01,299.799,3.27
64,New Norfolk,40,AU,1570170569,53,-42.78,147.06,285.15,7.2
65,Griffith,33,AU,1570170571,25,-34.29,146.06,302.15,4.1
66,Faanui,22,PF,1570170572,80,-16.48,-151.75,298.969,7.59
67,Yashan,22,CN,1570170573,38,30.81,118.02,305.739,1.94
68,Srednekolymsk,100,RU,1570170575,87,67.46,153.71,268.989,7.18
69,Masumbwe,0,TZ,1570170576,49,-3.65,32.16,296.859,5.1
70,Iskateley,100,RU,1570170577,91,67.68,53.15,275.969,7.03
71,Saskylakh,0,RU,1570170578,77,71.97,114.09,265.809,0.64
72,Torbay,40,CA,1570170580,76,47.66,-52.73,278.15,6.7
73,Mount Gambier,90,AU,1570170581,87,-37.83,140.78,286.15,4.6
74,Shreveport,1,US,1570170583,83,32.52,-93.77,296.15,3.1
75,Puerto Ayora,100,EC,1570170584,97,-0.74,-90.35,291.48,1.34
76,Venado Tuerto,100,AR,1570170585,99,-33.75,-61.97,283.71,3.58
77,Yellowknife,20,CA,1570170586,93,62.45,-114.38,277.15,2.1
78,Albany,90,US,1570170588,87,42.65,-73.75,284.82,4.6
79,Barentu,30,ER,1570170589,48,15.11,37.59,300.699,1.4
80,Bubaque,100,GW,1570170590,80,11.28,-15.83,300.129,1.63
81,Atuona,22,PF,1570170591,78,-9.8,-139.03,299.809,7.79
82,Hermanus,100,ZA,1570170593,68,-34.42,19.24,290.93,4.02
83,Sokoni,0,CD,1570170594,61,-12.89,28.78,294.929,4.9
84,Bodaybo,100,RU,1570170595,83,57.85,114.2,275.839,5.03
85,Alice Springs,0,AU,1570170597,9,-23.7,133.88,307.15,7.7
86,Vorukh,2,KG,1570170598,37,39.85,70.57,289.899,3.35
87,Taldan,32,RU,1570170599,33,53.69,124.82,280.489,3.94
88,Kamenka,100,MD,1570170601,86,48.03,28.7,281.48,1.79
89,Barcelos,84,BR,1570170602,96,-0.97,-62.93,296.209,0.59
90,Saint George,75,GR,1570170603,72,39.45,22.34,292.15,3.1
91,Hobart,40,AU,1570170605,53,-42.88,147.33,285.15,7.2
92,Dalby,0,AU,1570170607,16,-27.18,151.26,302.15,2.1
93,Bam,0,IR,1570170608,24,29.11,58.36,295.099,3.02
94,Ponta do Sol,0,BR,1570170609,62,-20.63,-46.0,290.979,3.4
95,Bogoslovka,90,RU,1570170611,50,56.8,86.72,283.839,6.54
96,Poso,0,ID,1570170612,40,-1.4,120.75,298.679,2.5
97,Joshimath,14,IN,1570170613,48,30.57,79.57,289.769,3.02
98,Faya,0,SA,1570170615,23,18.39,42.45,298.15,3.6
99,Airai,10,TL,1570170617,42,-8.93,125.41,303.159,0.87
100,Port Alfred,30,ZA,1570170618,74,-33.59,26.89,291.48,1.79
101,Kavieng,77,PG,1570170620,69,-2.57,150.8,302.439,4.28
102,Itinga,45,BR,1570170621,84,-16.61,-41.77,292.249,2.13
103,Pisco,35,PE,1570170622,88,-13.71,-76.2,290.15,2.1
104,Kapaa,75,US,1570170624,78,22.08,-159.32,300.15,8.7
105,Luganville,75,VU,1570170625,78,-15.51,167.18,299.15,5.7
106,Iqaluit,20,CA,1570170626,79,63.75,-68.52,273.15,8.2
107,Tiksi,100,RU,1570170628,90,71.64,128.87,270.449,10.77
108,Veraval,90,FR,1570170629,93,49.65,0.71,286.48,4.6
109,Sept-Iles,75,CA,1570170608,83,50.2,-66.38,274.26,3.1
110,Khatanga,3,RU,1570170631,60,71.98,102.47,271.149,7.28
111,Flin Flon,28,CA,1570170633,88,54.77,-101.88,275.839,2.44
112,Atambua,0,ID,1570170634,72,-9.11,124.89,299.439,4.7
113,Hurricane,1,US,1570170421,18,37.18,-113.29,291.15,5.1
114,Jumla,0,NP,1570170637,43,29.28,82.18,292.109,2.56
115,Staraya Toropa,100,RU,1570170638,92,56.28,31.67,278.349,2.86
116,Tokur,35,RU,1570170639,38,53.13,132.9,279.609,2.63
117,Sola,0,TZ,1570170641,52,-3.17,33.8,295.819,5.54
118,Kahului,20,US,1570170642,78,20.89,-156.47,299.15,6.7
119,Batemans Bay,65,AU,1570170643,34,-35.71,150.18,295.93,1.79
120,Qaanaaq,75,GL,1570170645,61,77.48,-69.36,269.849,3.57
121,Ereymentau,48,KZ,1570170646,32,51.62,73.1,286.929,4.88
122,Saint-Georges,100,CA,1570170647,100,46.12,-70.67,277.59,2.37
123,Ilhabela,54,BR,1570170509,85,-23.78,-45.36,293.879,2.2
124,Fairbanks,90,US,1570170537,100,64.84,-147.72,276.48,2.1
125,Eureka,1,US,1570170499,93,40.8,-124.16,283.15,0.2
126,Hatillo,97,PR,1570170451,91,18.49,-66.83,299.26,1.06
127,Jacksonville,1,US,1570170468,93,30.33,-81.66,296.15,0.69
128,Georgetown,0,GY,1570170554,100,6.8,-58.16,297.15,1.0
129,Mindif,85,CM,1570170656,78,10.4,14.44,296.599,1.38
130,Butaritari,100,KI,1570170657,70,3.07,172.79,301.489,4.34
131,Kuytun,0,RU,1570170658,41,54.34,101.51,283.619,2.55
132,Acapulco,40,MX,1570170660,88,16.86,-99.88,299.15,1.5
133,Avarua,64,CK,1570170661,73,-21.21,-159.78,297.15,2.1
134,Cayenne,0,GF,1570170662,100,4.94,-52.33,296.15,1.79
135,Tiznit,0,MA,1570170663,78,29.7,-9.73,293.579,3.82
136,Bama,95,CN,1570170665,78,24.14,107.25,299.799,2.42
137,Husavik,0,CA,1570170666,84,50.56,-96.99,278.15,2.43
138,Mangrol,30,IN,1570170667,83,25.33,76.51,300.15,2.34
139,Mingaora,97,PK,1570170669,54,34.78,72.36,290.359,1.68
140,Tvoroyri,13,FO,1570170670,61,61.56,-6.81,281.15,5.7
141,Tuatapere,100,NZ,1570170671,57,-46.13,167.69,288.15,6.26
142,San Carlos de Bariloche,75,AR,1570170672,93,-41.13,-71.31,275.15,3.72
143,Darhan,0,MN,1570170674,52,49.49,105.92,279.419,3.05
144,Xai-Xai,0,MZ,1570170675,63,-25.04,33.64,297.739,3.89
145,Hamilton,75,CA,1570170525,87,43.26,-79.87,287.59,3.6
146,La Ronge,5,CA,1570170678,75,55.1,-105.3,279.15,3.6
147,Cherskiy,100,RU,1570170679,93,68.75,161.3,268.819,2.89
148,Cascais,20,PT,1570170680,93,38.7,-9.42,292.04,1.0
149,Mar del Plata,0,AR,1570170681,55,-46.43,-67.52,279.789,8.78
150,Verkhoyansk,96,RU,1570170683,41,67.55,133.39,268.999,3.56
151,Corinto,75,CO,1570170684,88,3.17,-76.26,293.15,1.06
152,Aklavik,90,CA,1570170685,100,68.22,-135.01,275.15,0.82
153,Mahebourg,34,MU,1570170687,86,-20.41,57.7,297.59,4.02
154,Saldanha,14,PT,1570170688,94,41.42,-6.55,287.329,0.64
155,Port Elizabeth,90,US,1570170689,88,39.31,-74.98,296.48,3.6
156,Sitka,98,US,1570170691,85,37.17,-99.65,284.82,4.21
157,Ribeira Grande,64,PT,1570170692,81,38.52,-28.7,294.879,10.8
158,Kimberley,0,ZA,1570170693,18,-28.74,24.76,291.15,2.1
159,Chernyshevskiy,99,RU,1570170694,93,63.01,112.47,274.729,2.05
160,Carnarvon,0,ZA,1570170696,21,-30.97,22.13,286.349,0.49
161,Nemuro,75,JP,1570170697,100,43.32,145.57,288.15,2.1
162,Mandiana,50,GN,1570170698,98,10.62,-8.7,293.949,1.86
163,Baghmara,99,IN,1570170700,67,23.8,86.21,302.469,2.57
164,Roald,0,NO,1570170701,58,62.58,6.12,279.15,4.1
165,Saint-Philippe,90,CA,1570170703,100,45.36,-73.48,280.93,5.1
166,Fria,100,GN,1570170704,98,10.36,-13.58,295.169,0.78
167,Bandarbeyla,100,SO,1570170705,59,9.49,50.81,301.179,3.32
168,Broome,75,GB,1570170706,93,52.47,1.45,285.93,5.7
169,Lagoa,0,PT,1570170708,88,37.14,-8.45,292.15,4.1
170,Mount Isa,5,AU,1570170709,14,-20.73,139.49,306.15,6.7
171,Bilyayivka,90,UA,1570170710,87,46.48,30.22,287.15,7.0
172,Plouzane,90,FR,1570170712,93,48.38,-4.62,287.15,3.6
173,Sur,0,OM,1570170713,39,22.57,59.53,308.069,2.24
174,Pitimbu,40,BR,1570170714,88,-7.47,-34.81,297.15,3.6
175,Rio Gallegos,0,AR,1570170716,56,-51.62,-69.22,279.15,8.2
